NODE_ID,ARS-ID,정류소명,좌표X,좌표Y
101000046,02145,남대문시장.회현역,126.9800425,37.55949853
101000047,02146,남대문시장.회현역,126.9783474622,37.5585586534
101000048,02147,남산3호터널,126.9828003712,37.5584865568
101000049,02148,남산3호터널.서울애니메이션센터,126.982566164,37.5595072006
101000050,02149,명동입구,126.985225811,37.5607673404
101000051,02150,퇴계로2가.명동역,126.984499534,37.5608324594
101000052,02151,퇴계로3가.한옥마을.한국의집,126.9917309772,37.5611334758
101000053,02152,퇴계로3가.한옥마을.한국의집,126.992490506,37.5609899926
101000054,02153,충무로역2번출구.대한극장앞,126.9948830406,37.5613196823
101000055,02154,충무로역8번출구.대한극장앞,126.9965751591,37.5618724932
101000056,02155,초동,126.9930225205,37.5633379686
101000057,02156,을지로입구.로얄호텔,126.9853753406,37.5659870189
101000058,02157,을지로입구.시청입구,126.9811720525,37.5660681335
101000059,02158,을지로2가.기업은행본점.서울노동청,126.9865270687,37.5661750187
101000060,02159,을지로2가.파인에비뉴,126.9888222236,37.5661216045
101000061,02160,을지로3가,126.990379454,37.566313373
101000062,02161,을지로3가,126.9913175282,37.5662336334
101000063,02162,을지로4가,126.9962218644,37.5666038467
101000064,02163,을지로4가.베스트웨스턴국도,126.9968402973,37.5664971393
101000065,02164,중구청앞.덕수중학교,126.9982284878,37.5647791137
101000066,02165,을지로5가,126.9992630956,37.566755096
101000067,02166,을지로5가.중부시장,127.0011069759,37.5667239207
101000068,02167,방산시장.훈련원종합체육관,127.0022525478,37.5679533421
101000069,02168,을지로5가.훈련원종합체육관,127.0024217692,37.5658168668
101000070,02169,을지로6가.국립중앙의료원,127.0064075366,37.5661794747
101000071,02170,광희동,127.0072941642,37.5650333972
101000072,02171,광희동,127.0075738975,37.565083791
101000073,02172,을지로6가.국립중앙의료원,127.0058282626,37.5664064222
101000074,02173,동대문역사문화공원,127.0084231234,37.5673199726
101000075,02174,동대문역사문화공원,127.0089802242,37.5676255678
101000077,02177,충무아트센터.스포츠센터.중부소방서,127.014052208,37.5651584448
101000078,02178,충무아트센터.스포츠센터.중부소방서,127.0147221363,37.5651214487
101000079,02179,성동공업고등학교(무궁화회관),127.0158931315,37.5683563106
101000080,02180,성동공업고등학교앞,127.0160142109,37.5686877388
101000081,02181,신당역.중앙시장앞,127.0187449671,37.565685175
101000082,02182,신당역.중앙시장앞,127.0194761669,37.565586108
101000083,02183,성동고등학교,127.0220406536,37.5655113169
